compound,flashpoint
"Acetamide, 2-chloro-N,N-di-2-propenyl-",99.8
"Acetamide, 2-chloro-N,N-diethyl-",77
"Acetamide, 2-fluoro-",110.4
"Acetamide, 2-fluoro-N-isobutyl-",94.5
"Acetamide, 2-fluoro-N-methyl-N-1-naphthalenyl- (9CI)",163.5
"Acetamide, 2-fluoro-N-phenyl- (9CI)",145.1
"Acetamide, 2-iodo-",133.5
"Acetamide, 2-phenoxy-",200.9
"Acetamide, N-(1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-2-hydroxy-1,",295.8
"Acetamide, N-(1-hydroxy-9H-fluoren-2-yl)- (9CI)",240.3
"Acetamide, N-(2-(5-methoxy-1H-indol-3-yl)ethyl)- (9CI)",264
"Acetamide, N-(2-(6-hydroxy-5-methoxy-1H-indol-3-yl)ethyl)- (9CI)",295.3
"Acetamide, N-(2,5-dichlorophenyl)-",163.2
"Acetamide, N-(2-hydroxyethyl)-",176.7
"Acetamide, N-(2-methoxy-4-nitrophenyl)-",201.4
"Acetamide, N-(3-hydroxy-9H-fluoren-2-yl)- (9CI)",250.4
"Acetamide, N-(3-hydroxyphenyl)-",185.2
"Acetamide, N-(4-((4-aminophenyl)sulfonyl)phenyl)- (9CI)",310.3
"Acetamide, N-(4-(2-(2-hydroxy-5-methylphenyl)diazenyl)phenyl)-",276.7
"Acetamide, N-(4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)-",252.3
"Acetamide, N-(4-(chloroacetyl)phenyl)-",110
"Acetamide, N-(4'-amino(1,1'-biphenyl)-4-yl)- (9CI)",235.3
"Acetamide, N-(4-bromophenyl)-2-fluoro- (9CI)",174.3
"Acetamide, N-(4-chlorophenyl)-N-hydroxy- (9CI)",149
