compound,flashpoint,pure substance,smiles,source
Octyltriethoxysilane,373.15,1,C(CCCCCCC)[Si](OCC)(OCC)OCC,chen14
Tetradecamethylhexasiloxane,375.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
Hexadecamethylheptasiloxane,406.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
n-Octadecyltrichlorosilane,466.15,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
Octadecamethyloctasiloxane,417.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
Vinyltris(methoxyethoxy)silane,353.15,1,C(=C)[Si](OCCOC)(OCCOC)OCCOC,chen14
Trimethyl(vinyloxy)silane,263.15,1,C[Si](OC=C)(C)C,chen14
Trichloro(3-cyanopropyl) Silane,365.15,1,Cl[Si](CCCC#N)(Cl)Cl,chen14
Trichloro(2-phenylethyl)silane,364.15,1,Cl[Si](CCC1=CC=CC=C1)(Cl)Cl,chen14
"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,Cl[Si](CCC(F)(F)F)(C)C,chen14
Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C(=C)C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,chen14
Trichloro(Chloromethyl) silane,342.15,1,Cl[Si](CCl)(Cl)Cl,chen14
Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C1=C(C(=C(C(=C1F)F)F)F)F)C,chen14
Trichloro(p-chlorophenyl)silane,397.05,1,Cl[Si](C1=CC=C(C=C1)Cl)(Cl)Cl,chen14
Trisilane,273.15,1,[SiH3][SiH2][SiH3],chen14
Trichlorononylsilane,387.15,1,ClC(CCCCCCCC[SiH3])(Cl)Cl,chen14
Dichloroethylsilane,263.75,1,ClC(C[SiH3])Cl,chen14
Trichloro(dichlorophenyl)silane,419.15,1,Cl[Si](C1=C(C(=CC=C1)Cl)Cl)(Cl)Cl,chen14
Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,chen14
Tris(trimethylsiloxy)silane,323.15,1,C[Si](O[SiH](O[Si](C)(C)C)O[Si](C)(C)C)(C)C,chen14
Hexadecyltrichlorosilane,427.15,1,C(CCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
Dichlorosilane,236.15,1,Cl[SiH2]Cl,chen14
Dimethyldichlorosilane,257.15,1,C[Si](Cl)(Cl)C,chen14
Bromomethyldimethylchlorosilane,314.15,1,BrC[Si](Cl)(C)C,chen14
Trimethylsilane,204.15,1,C[SiH](C)C,chen14
Dimethylvinylchlorosilane,268.15,1,CC(=C[SiH2]Cl)C,chen14
"1,3-Dichlorotetramethyldisiloxane",288.15,1,Cl[Si](O[Si](Cl)(C)C)(C)C,chen14
"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](O[SiH](C)C)C,chen14
Tetramethyldisilazane,284.15,1,CN([Si](C)(C)C)[SiH3],chen14
Allyl Dimethylchlorosilane,278.15,1,C(C=C)[Si](Cl)(C)C,chen14
sec-Amyltrichlorosilane,303.15,1,C(C)(CCC)[Si](Cl)(Cl)Cl,chen14
n-Butylmethyldichlorosilane,303.15,1,C(CCC)[Si](Cl)(Cl)C,chen14
Bis(dimethylamino)methylsilane,270.15,1,CN(C)C(N(C)C)[SiH3],chen14
Phenyltrichlorosilane,364.15,1,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,chen14
Phenyl trifluorosilane,268.15,1,C1(=CC=CC=C1)[Si](F)(F)F,chen14
Dimethyldiacetoxysilane,310.15,1,C[Si](OC(C)=O)(OC(C)=O)C,chen14
1-Trimethylsilylpropyne,270.15,1,C[Si](C#CC)(C)C,chen14
Vinyldimethylethoxysilane,277.15,1,C(=C)[Si](OCC)(C)C,chen14
Allyloxytrimethylsilane,273.15,1,C(C=C)O[Si](C)(C)C,chen14
Allyltrimethoxysilane,319.15,1,C(C=C)[Si](OC)(OC)OC,chen14
3-Chloropropyltrimethoxysilane,348.15,1,ClCCC[Si](OC)(OC)OC,chen14
n-Propyltrimethoxysilane,298.15,1,C(CC)[Si](OC)(OC)OC,chen14
Hexamethyldisiloxane,270.15,1,C[Si](O[Si](C)(C)C)(C)C,chen14
Hexamethyldisilane,272.15,1,C[Si]([Si](C)(C)C)(C)C,chen14
Vinyldiethylmethylsilane,288.15,1,C(=C)[Si](C)(CC)CC,chen14
Isobutyltrimethoxysilane,315.15,1,C(C(C)C)[Si](OC)(OC)OC,chen14
Phenyldimethylchlorosilane,334.15,1,C1(=CC=CC=C1)[Si](Cl)(C)C,chen14
"(N,N-Dimethylamino)triethylsilane",299.15,1,CN(C)[Si](CC)(CC)CC,chen14
Vinyltriacetoxysilane,361.15,1,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
Ethyltriacetoxysilane,377.15,1,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,chen14
3-(Trimethylsilyl)cyclopentene,299.15,1,C[Si](C1C=CCC1)(C)C,chen14
Vinyltriethylsilane,298.15,1,C(=C)[Si](CC)(CC)CC,chen14
n-Octylsilane,309.15,1,C(CCCCCCC)[SiH3],chen14
Methyl phenyldimethoxysilane,349.15,1,C[Si](OC)(OC)C1=CC=CC=C1,chen14
2-Cyanoethyltriethoxysilane,359.15,1,C(#N)CC[Si](OCC)(OCC)OCC,chen14
3-Glycidoxypropyltrimethoxysilane,383.15,1,C(C1CO1)OCCC[Si](OC)(OC)OC,chen14
Di-t-butylmethylchlorosilane,342.15,1,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,chen14
Tri-n-propylchlorosilane,349.15,1,C(CC)[Si](Cl)(CCC)CCC,chen14
(Diisopropylamino)trimethylsilane,301.15,1,C(C)(C)N(C(C)C)[Si](C)(C)C,chen14
1-Chlorononamethyltetrasiloxane,347.15,1,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14
Tristrimethylsiloxymethylsilane,336.15,1,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,chen14
Diphenylmethylsilane,393.15,1,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],chen14
Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C[Si](OC(=C)C)(C)C,chen14
"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,ClC(Cl)[SiH2]CCC(F)(F)F,chen14
[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,ClCOCC[Si](C)(C)C,chen14
Iodotrimethylsilane,288.15,1,I[Si](C)(C)C,chen14
Triphenylsilane,416.35,1,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,chen14
[3-(mercapto)propyl]triethoxysilane,360.93,1,SCCC[Si](OCC)(OCC)OCC,chen14
Hexadecamethylheptasiloxane,406.15,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
Gamma-aminopropylethoxysilane,369.26,1,NCCC[SiH2]OCC,chen14
Dichlorodiethylsilane,297.15,1,Cl[Si](CC)(CC)Cl,chen14
Dimethylchlorosilane,245.15,1,C[SiH](Cl)C,chen14
TRIS(TRIMETHYLSILOXY)BORON,315.15,1,C[Si](C)(C)OB(O[Si](C)(C)C)O[Si](C)(C)C,gelest_metal-organics
Trichlorosilane,245,1,Cl[SiH](Cl)Cl,pan12
Dichlorosilane,236,1,Cl[SiH2]Cl,pan12
Methyltrichlorosilane,276,1,C[Si](Cl)(Cl)Cl,pan12
Methyldichlorosilane,241,1,C[SiH](Cl)Cl,pan12
Dichloromethylmethyldichlorosilane,301,1,ClC(Cl)[Si](Cl)(Cl)C,pan12
Ethyltrichlorosilane,295,1,C(C)[Si](Cl)(Cl)Cl,pan12
Dimethyldichlorosilane,257,1,C[Si](Cl)(Cl)C,pan12
Dimethylchlorosilane,245,1,C[SiH](Cl)C,pan12
"1,1,1-Trifluoropropyltrichlorosilane",288,1,FC(C(C)[Si](Cl)(Cl)Cl)(F)F,pan12
